Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Quantidade compra;Valor de Compra;Unidade de Medida;Bandeira;Nota atendimento
NE;BA;SALVADOR;COELHO, MENDES & SILVA LTDA; 15.211.436/0001-05;AVENIDA SAN MARTIN;S/N;;RETIRO;40360-840;GASOLINA ADITIVADA;01/01/2022;6,51;500;6,55;R$ / litro;BRANCA;5
NE;BA;SALVADOR;COELHO, MENDES & SILVA LTDA; 15.211.436/0001-05;AVENIDA SAN MARTIN;S/N;;RETIRO;40360-840;DIESEL S10;01/01/2022;5,43;500;5,29;R$ / litro;BRANCA;5
NE;BA;SALVADOR;AUTO POSTO MERIDIONAL LTDA; 40.585.119/0001-98;RUA FERNANDES VIEIRA;54;;CENTRO;40411-560;GASOLINA;01/01/2022;6,51;500;6,59;R$ / litro;BRANCA;5
NE;BA;SALVADOR;AUTO POSTO MERIDIONAL LTDA; 40.585.119/0001-98;RUA FERNANDES VIEIRA;54;;CENTRO;40411-560;ETANOL;01/01/2022;5,29;500;4,09;R$ / litro;BRANCA;5
NE;BA;SALVADOR;AUTO POSTO MERIDIONAL LTDA; 40.585.119/0001-98;RUA FERNANDES VIEIRA;54;;CENTRO;40411-560;GASOLINA ADITIVADA;01/01/2022;6,51;500;6,51;R$ / litro;BRANCA;5
NE;BA;SALVADOR;AUTO POSTO MERIDIONAL LTDA; 40.585.119/0001-98;RUA FERNANDES VIEIRA;54;;CENTRO;40411-560;DIESEL S10;01/01/2022;5,63;500;5,25;R$ / litro;BRANCA;5
NE;BA;SALVADOR;M-30 COMERCIO DE COMBUSTIVEIS LTDA; 04.794.669/0001-53;ESTRADA DA LIBERDADE;428;;LIBERDADE;40375-016;GASOLINA;01/01/2022;6,51;500;6,51;R$ / litro;BRANCA;5
NE;BA;SALVADOR;M-30 COMERCIO DE COMBUSTIVEIS LTDA; 04.794.669/0001-53;ESTRADA DA LIBERDADE;428;;LIBERDADE;40375-016;ETANOL;01/01/2022;5,25;500;6,65;R$ / litro;BRANCA;5
NE;BA;SALVADOR;M-30 COMERCIO DE COMBUSTIVEIS LTDA; 04.794.669/0001-53;ESTRADA DA LIBERDADE;428;;LIBERDADE;40375-016;GASOLINA ADITIVADA;01/01/2022;6,51;500;5,65;R$ / litro;BRANCA;5
NE;BA;SALVADOR;AUTO POSTO SALVADOR LTDA; 01.713.273/0001-46;ESTRADA DAS BARREIRAS;1111;;CABULA;41195-000;GASOLINA;01/01/2022;6,55;500;6,75;R$ / litro;BRANCA;5
NE;BA;SALVADOR;AUTO POSTO SALVADOR LTDA; 01.713.273/0001-46;ESTRADA DAS BARREIRAS;1111;;CABULA;41195-000;ETANOL;01/01/2022;5,33;500;5,79;R$ / litro;BRANCA;5
NE;BA;SALVADOR;AUTO POSTO SALVADOR LTDA; 01.713.273/0001-46;ESTRADA DAS BARREIRAS;1111;;CABULA;41195-000;DIESEL;01/01/2022;5,49;500;3,99;R$ / litro;BRANCA;5
NE;BA;SALVADOR;AUTO POSTO SALVADOR LTDA; 01.713.273/0001-46;ESTRADA DAS BARREIRAS;1111;;CABULA;41195-000;GASOLINA ADITIVADA;01/01/2022;6,55;500;6,99;R$ / litro;BRANCA;5
NE;BA;SALVADOR;ABO POSTOS DE ABASTECIMENTO E SERVICOS LTDA; 63.274.351/0001-00;ESTRADA DO COQUEIRO GRANDE;2003;;CAJAZEIRAS;41342-315;GASOLINA;01/01/2022;6,55;500;5,67;R$ / litro;VIBRA ENERGIA;5
